s_number,date,site,area,site_type,type_of_visitor,number_of_visitors,note
276,2009-04-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,12769,
277,2009-05-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,20282,
278,2009-06-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,17270,
279,2009-07-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,16362,
280,2009-08-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,10229,
281,2009-09-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,11700,
282,2009-10-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,13131,
283,2009-11-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,9190,
284,2009-12-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,9147,
285,2010-01-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,14153,
286,2010-02-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,13913,
287,2010-03-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,14000,
288,2010-04-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7249,
289,2010-05-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,8652,
290,2010-06-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7670,
291,2010-07-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7515,
292,2010-08-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,6513,
293,2010-09-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,5600,
294,2010-10-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,3250,
295,2010-11-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,6000,
296,2010-12-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,4000,
297,2011-01-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,4500,
298,2011-02-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,6500,
299,2011-03-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,2000,
300,2011-04-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,2500,
301,2011-05-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7223,
302,2011-06-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,11872,
303,2011-07-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,16726,
304,2011-08-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,2286,
305,2011-09-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,6583,
306,2011-10-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7642,
307,2011-11-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,8102,
308,2011-12-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7103,
309,2012-01-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,8103,
310,2012-02-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,6583,
311,2012-03-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,5182,
312,2012-04-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,8102,
313,2012-05-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7856,
314,2012-06-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7204,
315,2012-07-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,10162,
316,2012-08-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,9016,
317,2012-09-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,10001,
